,MPEG-Dash,virtualsplitter,MSoS,SyncDelivery,LowLatencyLiveStreaming,DocStreaming,FastDashBootstrap
web,0,0.000887623876165,0.00101701673779,0.00174648951504,0.000367400326452,0.000386342555958,0.000985817205223
handshake,0,0,0,0,0,0,0.00785961689285
msos,0,0,0.0275105110611,0,0,0,0
valid,0,0,0,0.00348105572282,0,0,0
X3D,0,0,0,0.0150845747989,0,0,0
usage,0,0,0,0,0,0.00487696779212,0
input,0,0,0.00550210221222,0,0,0,0
format,0,0,0,0.00353672332899,0.00173094557791,0.00265444191851,0
read,0.00423023945447,0,0,0,0,0,0
SVG,0,0,0,0,0,0.00487696779212,0
AJAX,0,0,0,0,0,0.00609620974015,0
traffic,0,0,0,0,0,0.00365772584409,0
logical,0,0,0.0229254258843,0,0,0,0
world,0,0,0,0.00696211144564,0,0,0
unique,0.00423023945447,0,0,0,0,0,0
descendant,0,0,0.00458508517685,0,0,0,0
d,0,0,0,0,0.00463785190446,0,0
follows,0,0,0.00641911924759,0,0,0,0
server,0.00547450227328,0,0,0,0.00457295843052,0.00210381875164,0.00809945435248
specific,0.0027233977576,0,0,0,0.00255927062001,0,0
pipelining,0,0,0,0,0,0,0.00916955304166
page,0,0.00601133862042,0.0259762349735,0,0,0,0
simulator,0.00423023945447,0,0,0,0,0,0
library,0,0.00373495230145,0,0,0,0,0
streaming,0.00585169107167,0,0,0.0020063937783,0.00630097821388,0.00611384389851,0.00226504366625
MP4,0,0,0,0.0194226816821,0,0.0102042096431,0
mirror,0,0.00373495230145,0,0,0,0,0
duration,0.0054467955152,0,0,0,0.00767781186003,0,0
videotextured,0,0,0,0.00580175953803,0,0,0
bouzakaria,0.0063453591817,0,0,0,0,0,0
delivered,0,0,0,0.00464140763042,0,0,0
W3C,0,0,0,0,0,0.00609620974015,0
primary,0,0.00466869037681,0,0,0,0,0
broadband,0.0169209578179,0,0,0,0,0,0
ﬁle,0,0.00240453544817,0,0.00971134084105,0,0,0
per,0,0,0,0,0.00682472165336,0.00392469601659,0
speciﬁc,0,0.00560242845217,0,0,0,0,0
mutation,0,0.00466869037681,0,0,0,0,0
dejittering,0.0063453591817,0,0,0,0,0,0
proc,0.0063453591817,0,0,0,0,0,0
refer,0,0,0.00366806814148,0,0,0,0
locate,0.0063453591817,0,0,0,0,0,0
processing,0,0.00373495230145,0,0,0,0,0
multiscreenoriented,0,0,0.00458508517685,0,0,0,0
refers,0,0,0.00458508517685,0,0,0,0
limitation,0,0.00373495230145,0,0,0,0,0
range,0,0,0,0,0,0.00487696779212,0
introduced,0,0,0,0,0.0119259048972,0,0
block,0,0,0.0513529539807,0,0,0,0
AVC,0,0,0,0,0.00596295244859,0,0
rendered,0,0,0,0.00580175953803,0,0,0
device’,0,0.0074699046029,0,0,0,0,0
IDR,0,0,0,0,0.00662550272065,0,0
ACM,0.00276292780561,0,0.00199646055699,0.00303147713913,0,0,0
phase,0,0.00894460313269,0.00199646055699,0,0,0,0.00342227341792
additional,0.0040850966364,0,0,0,0.00255927062001,0,0
area,0,0,0.00458508517685,0,0,0,0
segment,0.00460487967602,0,0,0,0.019905874146,0,0.00570378902987
support,0,0,0,0.00580175953803,0,0,0
initial,0,0,0,0,0.00255927062001,0,0.00463830112873
start,0,0,0,0,0.00341236082668,0,0.00885493851848
leaf,0,0,0.00733613628296,0,0,0,0
low,0.0163403865456,0,0,0,0.0127963531001,0,0
way,0,0,0,0,0,0.00365772584409,0
var,0,0,0,0,0,0.00487696779212,0
’device2’,0,0.00373495230145,0,0,0,0,0
