,MPEG-Dash,virtualsplitter,MSoS,SyncDelivery,LowLatencyLiveStreaming,DocStreaming,FastDashBootstrap
msos,0,0,0.014137606032,0,0,0,0
setting,0.00326086956522,0,0,0,0,0,0
X3D,0,0,0,0.0077519379845,0,0,0
usage,0,0,0,0,0,0.00250626566416,0
input,0,0,0.00282752120641,0,0,0,0
format,0,0,0,0.00417412045319,0.00204290091931,0.0031328320802,0
read,0.00217391304348,0,0,0,0,0,0
big,0,0,0,0,0.00238338440586,0,0
AJAX,0,0,0,0,0,0.0031328320802,0
traffic,0,0,0,0,0,0.00187969924812,0
inbrowser,0,0,0,0,0,0.00877192982456,0
using,0.0108695652174,0.00287907869482,0.00329877474081,0.00536672629696,0.00987402110998,0.0031328320802,0.0127903062942
unique,0.00217391304348,0,0,0,0,0,0
descendant,0,0,0.00235626767201,0,0,0,0
d,0,0,0,0,0.00238338440586,0,0
follows,0,0,0.00329877474081,0,0,0,0
server,0.00978260869565,0,0,0,0.00817160367722,0.00375939849624,0.0144732413329
specific,0.00217391304348,0,0,0,0.00204290091931,0,0
fragmentation,0,0,0,0,0.00340483486551,0,0
page,0,0.00479846449136,0.0207351555137,0,0,0,0
simulator,0.00217391304348,0,0,0,0,0,0
library,0,0.00191938579655,0,0,0,0,0
streaming,0.0173913043478,0,0,0.00596302921884,0.0187265917603,0.0181704260652,0.00673174015483
MP4,0,0,0,0.015503875969,0,0.00814536340852,0
mirror,0,0.00191938579655,0,0,0,0,0
duration,0.00434782608696,0,0,0,0.00612870275792,0,0
videotextured,0,0,0,0.00298151460942,0,0,0
bouzakaria,0.00326086956522,0,0,0,0,0,0
delivered,0,0,0,0.00238521168754,0,0,0
W3C,0,0,0,0,0,0.0031328320802,0
proceeding,0,0,0,0.00298151460942,0,0,0
broadband,0.00869565217391,0,0,0,0,0,0
ﬁle,0,0.00191938579655,0,0.0077519379845,0,0,0
per,0,0,0,0,0.00544773578481,0.0031328320802,0
speciﬁc,0,0.00287907869482,0,0,0,0,0
mutation,0,0.00239923224568,0,0,0,0,0
x3d,0,0,0,0.00178890876565,0,0,0
proc,0.00326086956522,0,0,0,0,0,0
refer,0,0,0.00188501413761,0,0,0,0
locate,0.00326086956522,0,0,0,0,0,0
processing,0,0.00191938579655,0,0,0,0,0
pipelining,0,0,0,0,0,0,0.00471221810838
multiscreenoriented,0,0,0.00235626767201,0,0,0,0
refers,0,0,0.00235626767201,0,0,0,0
MPD,0.0054347826087,0,0,0,0.00476676881171,0,0.0185122854258
range,0,0,0,0,0,0.00250626566416,0
runtime,0,0.00335892514395,0,0,0,0,0
block,0,0,0.0263901979265,0,0,0,0
AVC,0,0,0,0,0.00306435137896,0,0
rendered,0,0,0,0.00298151460942,0,0,0
