,15853,13210,14732,14729,13808,14735,12908,14733,14431,15631,15591,14563,15847,13870,14939,14562,15467,12907,14428,15849,14193,15580,15848,12909,14349,15466,14736,14565,13809,12480,15463,12906,14351,12680,13225,14567,14935,14559,14719,14333,14734
relax,0,0,0,0,0,0.00322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00425531914894
aware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0080971659919,0,0,0,0,0,0,0,0,0,0,0,0,0
supplemental,0,0,0,0,0,0,0,0.00276497695853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
must,0,0,0.00358422939068,0,0,0,0,0.00276497695853,0,0,0,0,0,0,0.00395256916996,0.00934579439252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
width640,0,0,0,0,0,0,0.00242130750605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
setup,0,0,0,0,0,0,0,0,0,0.00218181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
work,0,0,0,0,0.00239520958084,0,0,0,0,0.00218181818182,0,0,0.00289435600579,0,0.00395256916996,0.00623052959502,0,0,0.0015625,0,0,0.00570125427594,0,0,0,0,0,0,0,0.00782361308677,0,0,0,0,0.00470809792844,0,0.00495867768595,0,0.00294876520457,0.00588235294118,0
LHEVC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00529661016949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
example,0,0,0.00358422939068,0.00413223140496,0.00479041916168,0,0.00484261501211,0.00829493087558,0,0,0.00345224395857,0.00695249130939,0.0110950313555,0.00252143217347,0,0,0.00423728813559,0,0,0.010148849797,0,0,0,0,0.00793650793651,0.00828157349896,0,0,0,0.00284495021337,0,0,0,0.00280112044818,0,0,0.00330578512397,0.00469483568075,0,0,0
‘mett’,0,0,0,0,0,0,0,0,0.00537634408602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
